threshold,coverage,n_signals,directional_hit_rate,n_up_down_swaps,custom_cost,macro_f1,model
0.7250000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__no_sentiment
0.75,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__no_sentiment
0.7750000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__no_sentiment
0.8,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__no_sentiment
0.8250000000000002,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__no_sentiment
0.8500000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__no_sentiment
0.875,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__no_sentiment
0.9,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__no_sentiment
0.3,0.9868421052631579,150,0.26666666666666666,47,1.3486842105263157,0.16173221577476896,lstm__all
0.325,0.8223684210526315,125,0.264,46,1.269736842105263,0.2760808108047372,lstm__all
0.35,0.5131578947368421,78,0.2564102564102564,32,1.0394736842105263,0.30544242966603213,lstm__all
0.375,0.039473684210526314,6,0.3333333333333333,2,0.6052631578947368,0.2252456538170824,lstm__all
0.4,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.42500000000000004,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.45,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.47500000000000003,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.5,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.525,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.55,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.5750000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.6000000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.625,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.6500000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.675,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.7000000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.7250000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.75,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.7750000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.8,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.8250000000000002,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.8500000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.875,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.9,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__all
0.3,0.9605263157894737,146,0.273972602739726,46,1.3157894736842106,0.20293040293040296,lstm__no_sentiment
0.325,0.8026315789473685,122,0.2786885245901639,44,1.2236842105263157,0.30250609431864484,lstm__no_sentiment
0.35,0.5263157894736842,80,0.2875,30,1.0,0.3277032298330473,lstm__no_sentiment
0.375,0.03289473684210526,5,0.4,1,0.5921052631578947,0.22483748633734693,lstm__no_sentiment
0.4,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.42500000000000004,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.45,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.47500000000000003,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.5,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.525,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.55,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.5750000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.6000000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.625,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.6500000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.675,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.7000000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.7250000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.75,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.7750000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.8,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.8250000000000002,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.8500000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.875,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.9,0.0,0,,0,0.5789473684210527,0.19753086419753085,lstm__no_sentiment
0.3,0.75,114,0.3157894736842105,31,1.0592105263157894,0.3240171690566774,mlp__all
0.325,0.7105263157894737,108,0.3148148148148148,29,1.0328947368421053,0.32147975481308816,mlp__all
0.35,0.6973684210526315,106,0.32075471698113206,27,1.006578947368421,0.32139281906723766,mlp__all
0.375,0.6907894736842105,105,0.3142857142857143,27,1.013157894736842,0.3109002898247084,mlp__all
0.4,0.6644736842105263,101,0.32673267326732675,26,0.9802631578947368,0.3289528985507246,mlp__all
0.42500000000000004,0.6447368421052632,98,0.336734693877551,26,0.9605263157894737,0.34591450837833637,mlp__all
0.45,0.625,95,0.3263157894736842,25,0.9605263157894737,0.3350955441864533,mlp__all
0.47500000000000003,0.6052631578947368,92,0.32608695652173914,24,0.9473684210526315,0.3347913249498815,mlp__all
0.5,0.5723684210526315,87,0.3333333333333333,22,0.9144736842105263,0.33969852831341285,mlp__all
0.525,0.506578947368421,77,0.3246753246753247,19,0.881578947368421,0.33096439381913084,mlp__all
0.55,0.4868421052631579,74,0.3108108108108108,19,0.8881578947368421,0.3180066250731622,mlp__all
0.5750000000000001,0.45394736842105265,69,0.3333333333333333,17,0.8421052631578947,0.33139801375095496,mlp__all
0.6000000000000001,0.42105263157894735,64,0.3125,16,0.8421052631578947,0.31612099030645396,mlp__all
0.625,0.40789473684210525,62,0.3225806451612903,15,0.8223684210526315,0.3204532613207968,mlp__all
0.6500000000000001,0.40131578947368424,61,0.32786885245901637,15,0.8157894736842105,0.32468854723593665,mlp__all
0.675,0.3815789473684211,58,0.3103448275862069,15,0.8223684210526315,0.30872362869198317,mlp__all
0.7000000000000001,0.34868421052631576,53,0.3018867924528302,13,0.8026315789473685,0.2986184070854268,mlp__all
0.7250000000000001,0.3157894736842105,48,0.2916666666666667,13,0.7960526315789473,0.28932178932178926,mlp__all
0.75,0.29605263157894735,45,0.26666666666666666,13,0.8026315789473685,0.2777491113404426,mlp__all
0.7750000000000001,0.2631578947368421,40,0.25,13,0.7960526315789473,0.2722427187557211,mlp__all
0.8,0.23684210526315788,36,0.19444444444444445,12,0.8026315789473685,0.23984887897931376,mlp__all
0.8250000000000002,0.20394736842105263,31,0.12903225806451613,11,0.8026315789473685,0.21486298687013397,mlp__all
0.8500000000000001,0.15789473684210525,24,0.125,9,0.756578947368421,0.21040630182421227,mlp__all
0.875,0.14473684210526316,22,0.09090909090909091,8,0.75,0.19920697858842187,mlp__all
0.9,0.10526315789473684,16,0.125,7,0.7039473684210527,0.2122222222222222,mlp__all
0.3,0.7828947368421053,119,0.35294117647058826,31,1.013157894736842,0.3920649796938456,mlp__no_sentiment
0.325,0.75,114,0.35964912280701755,31,0.993421052631579,0.41278980145517324,mlp__no_sentiment
0.35,0.7039473684210527,107,0.35514018691588783,31,0.9868421052631579,0.4173582577198085,mlp__no_sentiment
0.375,0.6644736842105263,101,0.36633663366336633,29,0.9473684210526315,0.42714215925744997,mlp__no_sentiment
0.4,0.618421052631579,94,0.3617021276595745,27,0.9276315789473685,0.4168149277756597,mlp__no_sentiment
0.42500000000000004,0.5394736842105263,82,0.34146341463414637,22,0.8947368421052632,0.37679657269209504,mlp__no_sentiment
